timestamp,eID,K40,Realtime,sTh232,Q,sCs137,Livetime,A1,Countrate,Cosmics,Total,Th232,sU238,sK40,U238,Cs137,StabSpectrum,Dose,Lat,Lon,Date,Height,Press,Temp,Hum,vT,datetime
1749562269993,SYNC_4112,214.118,0.599,52.983,0.31,38.143,0.599,0.694,125,3,63,12.155,66.297,388.092,1.542,38.789,"[0.598, 0.585, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1.458, 0.541, 0.607, 0.486, 2.878, 1.027, 3.73, 3.683, 0.83, 2.122, 2.756, 2.001, 0.878, 2.437, 0.558, 0.32, 2.199, 0.48, 0.638, 1.439, 1.439, 0.481, 1.397, 2.277, 0.602, 0.722, 0, 0, 0.036, 0.963, 0, 1.356, 1.439, 0.439, 1.44, 1.323, 0.556, 0.443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0.803, 0.196, 0.684, 0.315, 0, 0, 0, 0, 0, 0, 0.209, 0.79, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.707, 0.292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.536, 0.463, 0, 0, 0.303, 0.696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]",0.019,0,0,1749562267058.2363,44.30582362728785,1008.7803816367265,26.14,43.11259481037924,1749562269993,2025-06-10 13:31:09.993
1749562270595,SYNC_4112,436.064,0.606,52.371,0.753,37.702,0.606,0.694,119,4,70,11.749,65.531,383.609,-14.948,24.242,"[0.606, 0.585, 0, 0, 0, 0, 0, 0, 0, 1.701, 1.458, 2.839, 1.674, 3.933, 3.486, 2.878, 1.952, 0.804, 2.878, 4.635, 1.439, 0.439, 0.877, 0, 0, 0.88, 1.439, 0.679, 0, 0, 1.078, 1.957, 1.921, 1.837, 1.204, 1.277, 0.722, 0, 0.596, 0.403, 0, 0, 1, 0, 1, 0, 0.116, 0.883, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1.916, 0.083, 0, 0, 0, 0, 0, 0, 0, 0.921, 0.078, 0.803, 1.196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.861, 0.138, 0, 0, 0, 0.07, 0.929, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.143, 0.856, 0, 0, 0, 0, 0, 0.48, 2.202, 0.317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.865, 0.134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.605, 0.394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.712, 0.287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]",0.026,0,0,1749562268060.0,44.4,1008.7795405189621,26.14,43.10057884231537,1749562270595,2025-06-10 13:31:10.595
1749562271195,SYNC_4112,-85.891,0.593,53.519,0.607,38.529,0.593,0.694,124,2,63,1.384,66.967,392.019,50.723,28.205,"[0.592, 0.585, 0, 0, 0, 0, 0, 1.945, 0.054, 0.85, 1.439, 0.709, 0, 0.607, 1.486, 1.905, 0.925, 0.804, 2.878, 3.878, 2.195, 1.316, 0.562, 3.442, 3.436, 0.558, 0.32, 0.679, 2, 1.277, 0.722, 0, 0, 1, 0, 0.277, 0.722, 0, 0.596, 1.439, 1.439, 0.523, 0, 0.796, 0.203, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.637, 1.44, 0.922, 0, 2, 0, 0, 0, 2, 0, 2.04, 0.959, 0, 0, 0, 0, 0, 0, 0.565, 0.434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.737, 0.262, 0, 0, 0, 0, 0, 0, 0, 0.707, 0.292, 0, 0, 0, 0, 0, 0, 0, 0, 0.12, 0.879, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.979, 0.02, 0, 0, 0.751, 0.248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",0.021,0,0,1749562269000.0,44.4,1008.7776194610777,26.14569860279441,43.10569860279441,1749562271195,2025-06-10 13:31:11.195
1749562271795,SYNC_4112,405.15,0.599,52.983,0.507,38.143,0.599,0.694,116,0,75,1.198,66.297,388.092,39.585,10.853,"[0.598, 0.585, 0, 0, 0.655, 0.344, 0, 0, 0, 0.85, 0.439, 1.439, 0.27, 0, 2.141, 2.858, 1.851, 0.878, 2.074, 2.658, 5.903, 4.633, 1.124, 0.875, 0.441, 0.558, 2, 0, 2.398, 1.601, 0.078, 1.957, 1.921, 1.042, 0.837, 1.439, 0.722, 0, 0.596, 0.439, 1.439, 0.523, 0, 2.388, 0.847, 0.763, 0, 0.556, 1.44, 1.003, 0, 1, 0, 0, 0, 0.077, 0.922, 0, 0, 0, 0.279, 1.44, 1.44, 0.839, 0.04, 0.959, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.091, 0.908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.824, 0.175, 0, 0.148, 1.441, 0.441, 0.969, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.328, 0.671, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.701, 0.298, 0, 0, 0, 0, 0, 1.595, 1.404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.714, 0.285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.022,0,0,1749562269043.6409,44.40436408977556,1008.7763010967097,26.15,43.11,1749562271795,2025-06-10 13:31:11.795
1749562272397,SYNC_4112,197.144,0.599,52.983,0.307,38.143,0.599,0.694,131,1,76,14.235,66.297,388.092,43.112,16.87,"[0.598, 0.585, 0, 0, 0, 0, 0, 0, 0, 0, 0.29, 0.709, 3.505, 2.494, 1.141, 2.858, 1.851, 2.878, 1.269, 0.731, 3.635, 1.878, 2.316, 1.439, 1.88, 2.879, 0.879, 2.119, 0.24, 0.638, 0.361, 0.518, 1.439, 2.837, 1.204, 0.831, 2.168, 1.156, 0.843, 0.036, 1.439, 1.439, 1.083, 0, 0.236, 1.44, 1.44, 1.44, 0.443, 0, 0, 0.633, 1.366, 0, 0, 0.077, 0.922, 0, 1, 1.677, 0.322, 0, 0, 0.6, 1.44, 0.959, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.209, 1.44, 0.349, 0, 0, 0, 0, 0, 0, 0.178, 0.821, 0, 0, 0, 0, 0, 0, 0.707, 0.292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.328, 0.671, 0, 0, 0, 0.536, 0.463, 0, 0, 0.303, 0.696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.586, 0.413, 0, 1.826, 0.173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.021,0,0,1749562270000.0,44.50599001663893,1008.7766612163509,26.15,43.11,1749562272397,2025-06-10 13:31:12.397
1749562273000,SYNC_4112,194.938,0.599,52.983,0.438,38.143,0.599,0.694,109,1,67,5.877,66.297,388.092,17.698,19.308,"[0.598, 0.585, 0, 0, 0, 0, 0, 0, 0, 0.85, 0.439, 2.897, 1.98, 0.831, 4.141, 3.345, 1.439, 2.074, 0.804, 1.683, 1.512, 1.245, 4.003, 1.754, 2.437, 2.32, 0.238, 0.759, 3.24, 0, 0, 0.518, 0.481, 0.795, 1.204, 1, 0, 1, 0, 2, 0, 0.916, 0.083, 0, 0, 0, 0, 0, 0, 0, 0, 0.316, 0.683, 1, 0.637, 1.362, 0.517, 0.482, 0, 0, 0.279, 0.72, 0.16, 0.839, 0, 0, 0, 1, 0.803, 0.196, 0, 1.124, 0.875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.855, 0.44, 0.703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.094, 0.905, 0, 0.419, 0.58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.701, 1.298, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.183, 0.816, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",0.02,0,0,1749562270063.228,44.6063227953411,1008.7763927145709,26.15,43.102594810379244,1749562273000,2025-06-10 13:31:13.000
1749562273599,SYNC_4112,264.493,0.598,53.072,0.515,38.207,0.598,0.694,120,1,62,45.655,66.407,388.741,-32.251,5.096,"[0.597, 0.585, 0, 0, 0, 0, 0, 0, 0, 0.85, 0.729, 2.878, 2.709, 1.439, 0.486, 2.392, 4.216, 2.662, 0.634, 0.243, 2.805, 3.073, 0.877, 1.001, 0.998, 0.88, 0.119, 3.038, 2.16, 1.439, 0.361, 0, 0, 0, 0.837, 2.162, 0.717, 0.439, 1.439, 0.403, 0.476, 1.439, 0.083, 0, 0.236, 0.763, 0.232, 1.767, 0, 0, 0, 0, 0, 0, 0, 0.077, 1.44, 0.482, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.362, 0.637, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0.65, 0.349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.942, 0.057, 0.824, 0.175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.12, 0.879, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.143, 0.856, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.01, 0.989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.018,0,0,1749562271059.9001,44.7,1008.7757351297405,26.15,43.09063872255489,1749562273599,2025-06-10 13:31:13.599
1749562274205,SYNC_4112,349.813,0.6,52.895,0.5,38.079,0.6,0.694,140,2,82,46.013,66.186,387.445,-5.152,-2.754,"[0.6, 0.585, 0, 0, 0, 0, 0, 0, 0.411, 0.588, 1, 1.458, 2.709, 2.654, 3.27, 2.392, 2.364, 1.513, 2.243, 4.366, 3.024, 0.122, 1.439, 3.437, 0.441, 0.558, 0.64, 2.879, 2.879, 1.601, 1, 0, 0, 1.397, 0.602, 0.277, 0.722, 0.156, 0.843, 2.036, 1.916, 1.047, 0.356, 1.439, 2.203, 0, 0, 0, 0, 1, 0.876, 0.123, 0, 0, 0, 1.155, 1.844, 0, 1, 0, 0, 0.719, 0.44, 0.839, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1.179, 0.82, 0, 0.913, 0.086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.303, 0.696, 0, 0, 0, 0, 0, 0, 0, 0.28, 0.719, 0, 0, 0, 0, 0, 0, 0, 0, 0.701, 0.298, 0, 0, 0, 0.913, 0.086, 0, 1, 0.682, 0.317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.049, 0.95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.934, 0.065, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",0.028,0,0,1749562272000.0,44.7,1008.7762155688623,26.155728542914172,43.09,1749562274205,2025-06-10 13:31:14.205
1749562274801,SYNC_4112,11.804,0.598,53.072,0.636,38.308,0.598,0.694,95,0,59,15.457,66.417,388.747,17.374,66.819,"[0.597, 0.585, 0, 0, 0, 0, 0, 0.972, 0.027, 0, 1.58, 2.149, 1.607, 2.27, 1.533, 2.858, 0.925, 0.074, 0.804, 0.683, 2.195, 1.439, 0.877, 1.001, 1.439, 0.558, 1.32, 0.679, 0, 0.638, 0.361, 1.036, 0.963, 0.397, 0.602, 0, 0.717, 0.282, 0, 0, 0.476, 0.523, 1, 0.796, 0.203, 0, 0, 0, 0.996, 1.003, 0, 0, 0, 0, 0.637, 0.362, 0.517, 0.482, 0.398, 0.601, 1, 0, 0.16, 0.839, 0.081, 1.918, 0.921, 1.44, 0.637, 0.243, 0.756, 0, 0.565, 0.44, 0.993, 0.887, 0.112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.328, 0.671, 0, 0.652, 0.347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164, 0.835, 0, 0, 0, 0, 0, 0.259, 0.74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.194, 0.805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.161, 0.838, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.045, 0.954, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.506, 0.493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.02,0,0,1749562272044.9438,44.704494382022474,1008.7767004985045,26.16,43.086650049850455,1749562274801,2025-06-10 13:31:14.801
1749562275398,SYNC_4112,252.982,0.599,52.983,0.802,38.143,0.599,0.694,121,0,65,-0.536,66.297,388.092,34.405,26.082,"[0.598, 0.585, 0, 0, 0, 0, 0, 0, 0, 0, 1.29, 0.709, 0.337, 2.878, 0.831, 2.412, 2.466, 0.439, 1.439, 2.195, 1.366, 2.633, 0, 1.001, 1.439, 0.558, 1, 1.519, 1.879, 1.601, 0.235, 2.764, 0, 1.397, 0.602, 0, 0, 0, 0.596, 1.403, 0.476, 0.523, 1, 1.592, 0.879, 1.527, 0, 0, 0, 0.436, 0.563, 0, 0, 0, 0, 0, 1.035, 0.964, 0, 0, 1, 0, 0.16, 1.44, 0.399, 0, 0.921, 0.078, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.532, 0.467, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.303, 0.696, 0, 0.628, 1.371, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.028, 0.971, 0, 0, 0, 0.24, 0.759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.322, 0.677, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.381, 0.618, 0.27, 0.729, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.714, 0.285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.024,0,0,1749562273000.0,44.8,1008.7770576271187,26.16,43.07474576271186,1749562275398,2025-06-10 13:31:15.398
